Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Soil_Type,Season,Rainfall(mm),Nitrogen,Phosphorus,Potassium,pH_Value,Crop
1.6,Flood,15,66,Sandy,Summer,178,79,37,68,5.9,Papaya
4.5,Sprinkler,48,40,Clay,Summer,114,76,37,54,7.4,Sunflower Seeds
3.7,Flood,45,56,Clay,Monsoon,192,94,46,72,6.0,Soybean
4.8,Sprinkler,39,31,Sandy,Rainy,197,76,31,54,6.4,Chili
3.5,Drip,31,38,Loam,Monsoon,100,72,34,75,5.6,Avocado
2.5,Drip,28,70,Sandy,Summer,136,56,49,65,7.3,Garlic
1.6,Sprinkler,22,57,Sandy,Winter,246,96,40,74,6.8,Mango
3.0,Drip,56,54,Loam,Winter,193,85,24,53,6.8,Radish
4.6,Sprinkler,22,59,Clay,Monsoon,207,91,27,72,5.9,Pumpkin Seeds
4.5,Drip,32,22,Loam,Winter,186,96,28,75,6.9,Kidney Bean
4.2,Drip,63,11,Sandy,Winter,148,90,38,80,7.2,Onion
1.0,Drip,55,53,Loam,Winter,178,97,20,53,6.1,Apple
2.9,Drip,65,14,Loam,Winter,238,80,45,59,6.9,Pomegranate
2.4,Drip,50,13,Loam,Monsoon,204,93,36,76,6.4,Black Bean
1.6,Sprinkler,25,23,Sandy,Summer,239,61,35,73,6.5,Garlic
2.2,Sprinkler,57,68,Loam,Summer,122,94,31,64,6.7,Taro
2.4,Flood,60,23,Clay,Rainy,166,60,50,73,7.3,Turmeric
4.9,Sprinkler,44,58,Loam,Summer,211,53,34,75,7.5,Mung Bean
3.9,Drip,59,51,Loam,Winter,199,91,32,78,5.9,Sunflower
2.6,Flood,40,41,Clay,Summer,227,86,37,63,6.1,Jute
3.2,Drip,40,25,Loam,Rainy,195,83,20,50,7.1,Barley
3.6,Drip,10,10,Sandy,Winter,181,71,29,71,6.3,Sesame
3.4,Flood,28,45,Clay,Rainy,211,56,37,70,5.6,Chickpea
4.8,Flood,20,10,Clay,Summer,211,91,44,51,5.7,Onion
3.3,Drip,60,19,Loam,Monsoon,125,81,28,63,6.1,Safflower
1.7,Sprinkler,42,51,Clay,Summer,216,82,48,50,6.9,Barley
3.3,Flood,46,28,Clay,Monsoon,222,74,23,57,6.7,Jute
4.3,Drip,36,39,Sandy,Winter,133,51,36,72,7.0,Maize
3.7,Drip,19,26,Sandy,Rainy,208,90,48,52,5.9,Tobacco
3.4,Drip,16,24,Clay,Rainy,183,58,25,64,5.5,Cassava
1.9,Flood,38,59,Clay,Rainy,141,98,39,61,5.9,Avocado
1.2,Drip,54,59,Sandy,Rainy,140,60,25,77,7.4,Garlic
4.0,Sprinkler,52,62,Sandy,Summer,104,64,41,52,6.7,Tea
2.0,Drip,60,64,Loam,Winter,139,94,43,68,6.6,Maize
2.4,Drip,59,49,Sandy,Rainy,195,86,37,59,5.7,Lemon
1.5,Sprinkler,10,37,Sandy,Summer,127,84,21,59,6.7,Cauliflower
4.8,Drip,27,36,Clay,Monsoon,206,80,34,61,6.9,Papaya
3.0,Drip,11,65,Clay,Summer,158,77,21,60,6.6,Watermelon
1.4,Drip,48,25,Sandy,Winter,205,53,48,65,5.7,Spinach
3.7,Drip,16,46,Loam,Summer,177,100,42,77,7.0,Coffee
2.8,Drip,53,62,Sandy,Summer,111,85,35,55,6.3,Kidney Bean
3.6,Sprinkler,70,38,Sandy,Summer,245,93,20,67,6.9,Mint
4.2,Flood,50,57,Sandy,Rainy,132,78,48,65,6.0,Hemp
4.9,Flood,57,23,Clay,Winter,226,70,44,73,7.0,Apple
1.9,Sprinkler,12,17,Sandy,Monsoon,236,66,33,79,7.3,Sesame
4.2,Drip,57,13,Clay,Summer,212,77,47,78,5.9,Chili Pepper
2.7,Drip,28,43,Clay,Rainy,189,100,32,61,7.1,Sunflower
2.8,Drip,45,20,Loam,Summer,136,83,24,80,5.8,Mushroom
4.7,Sprinkler,10,58,Clay,Winter,125,74,27,73,6.1,Avocado
3.5,Drip,14,26,Loam,Rainy,184,74,25,77,6.9,Cassava
3.5,Sprinkler,46,66,Sandy,Monsoon,226,88,23,80,7.3,Wheat
2.6,Flood,42,33,Loam,Monsoon,227,64,34,57,6.3,Cotton
2.4,Flood,31,47,Sandy,Summer,138,78,50,53,7.1,Flax Seeds
1.4,Drip,32,53,Sandy,Rainy,111,50,42,68,6.9,Black Bean
2.9,Drip,56,34,Sandy,Winter,184,89,24,52,7.2,Black Bean
2.2,Flood,22,48,Sandy,Winter,202,88,21,80,6.8,Sesame
4.4,Sprinkler,24,37,Loam,Monsoon,220,51,34,76,6.4,Navy Bean
1.1,Flood,55,47,Sandy,Summer,155,64,34,74,7.5,Cucumber
4.3,Sprinkler,61,60,Clay,Winter,167,93,31,76,6.7,Flax Seeds
2.9,Flood,55,51,Clay,Monsoon,229,87,35,71,7.4,Mustard
4.2,Drip,14,24,Loam,Summer,138,84,35,55,6.5,Chickpea
2.3,Sprinkler,68,17,Sandy,Winter,173,96,25,78,5.7,Chili
2.6,Sprinkler,20,63,Loam,Rainy,180,61,27,70,7.3,Yam
4.1,Drip,29,66,Clay,Winter,199,54,20,69,6.4,Oats
2.7,Sprinkler,46,68,Sandy,Rainy,180,74,36,70,7.4,Sweet Potato
1.9,Drip,45,58,Clay,Winter,222,54,44,68,6.8,Brinjal
1.3,Drip,54,50,Loam,Rainy,222,91,43,50,6.1,Mushroom
1.0,Flood,52,18,Clay,Summer,110,51,36,66,5.8,Mustard
2.5,Drip,50,32,Clay,Monsoon,234,57,31,69,6.9,Mustard
4.4,Flood,28,49,Sandy,Winter,234,81,32,74,7.0,Sweet Potato
2.8,Sprinkler,12,41,Loam,Monsoon,186,94,47,52,6.1,Watermelon
2.5,Flood,53,44,Sandy,Rainy,210,95,27,80,5.6,Kale
2.6,Drip,47,46,Loam,Monsoon,232,68,46,76,6.5,Pumpkin
1.7,Drip,64,41,Clay,Winter,242,55,27,57,6.5,Soybean
4.1,Flood,22,57,Sandy,Rainy,151,70,49,50,7.3,Kale
3.3,Sprinkler,59,65,Loam,Monsoon,151,63,30,60,7.4,Papaya
3.8,Sprinkler,62,36,Clay,Monsoon,233,66,38,80,7.2,Chili
4.3,Sprinkler,45,69,Sandy,Summer,204,56,39,58,5.7,Oats
2.6,Sprinkler,27,40,Sandy,Rainy,152,86,28,55,6.2,Wheat
1.1,Flood,20,22,Clay,Winter,158,55,33,66,6.6,Mushroom
3.9,Sprinkler,27,69,Clay,Winter,163,79,34,79,5.9,Broad Bean
4.7,Drip,54,29,Clay,Winter,197,73,20,50,6.3,Kale
1.5,Drip,25,28,Clay,Monsoon,228,95,43,55,5.9,Safflower
1.9,Flood,70,38,Loam,Rainy,124,94,35,65,5.9,Peanut
4.0,Drip,68,11,Loam,Rainy,187,65,33,59,6.2,Cabbage
5.0,Drip,32,54,Sandy,Summer,216,92,42,66,6.3,Groundnut
2.9,Sprinkler,28,27,Sandy,Monsoon,187,61,42,69,7.5,Hemp
4.9,Drip,63,32,Loam,Rainy,160,87,33,78,7.1,Chili Pepper
1.6,Sprinkler,42,14,Clay,Summer,248,81,26,67,5.6,Kale
1.7,Flood,43,70,Clay,Summer,243,60,22,64,5.9,Basil
2.4,Sprinkler,49,70,Loam,Monsoon,123,78,24,66,6.5,Tobacco
1.2,Drip,68,49,Sandy,Rainy,113,100,36,56,5.9,Cabbage
2.9,Drip,68,15,Sandy,Winter,236,52,49,66,6.7,Mung Bean
1.7,Flood,33,64,Sandy,Rainy,136,60,35,66,5.5,Groundnut
3.4,Drip,38,10,Loam,Rainy,170,53,37,59,7.0,Mustard
1.3,Flood,38,54,Clay,Winter,112,91,46,78,7.5,Yam
1.2,Flood,15,45,Clay,Winter,234,99,23,63,6.2,Hemp
4.7,Sprinkler,47,13,Sandy,Monsoon,107,67,27,59,5.5,Rice
1.5,Flood,38,23,Clay,Rainy,229,91,22,57,6.8,Coffee
3.9,Flood,21,26,Sandy,Rainy,164,56,27,65,6.1,Tea
3.4,Drip,63,51,Loam,Winter,213,88,50,69,6.0,Parsley
3.2,Flood,60,39,Sandy,Rainy,185,90,40,80,6.9,Sugarcane
4.8,Flood,65,27,Loam,Summer,186,74,39,63,7.4,Guava
1.5,Drip,54,43,Clay,Summer,230,75,39,50,5.7,Kidney Bean
3.9,Drip,54,56,Clay,Rainy,145,50,21,77,5.8,Lima Bean
4.4,Drip,70,23,Loam,Rainy,151,57,30,72,6.4,Carrot
4.5,Drip,54,15,Clay,Rainy,169,50,42,63,6.8,Mung Bean
2.7,Flood,61,42,Sandy,Monsoon,103,78,41,74,5.8,Mung Bean
1.3,Sprinkler,29,19,Clay,Summer,114,76,21,51,5.9,Brinjal
4.7,Sprinkler,49,57,Clay,Winter,177,89,29,66,5.9,Peas
1.6,Flood,21,63,Loam,Winter,101,85,25,62,7.2,Coffee
4.2,Drip,16,27,Sandy,Summer,195,76,45,79,6.0,Zucchini
2.9,Sprinkler,54,26,Sandy,Monsoon,147,58,47,78,5.6,Lemon
4.8,Drip,60,21,Sandy,Winter,128,51,27,62,6.8,Sesame
2.4,Flood,49,62,Loam,Winter,129,74,28,52,5.8,Groundnut
2.4,Flood,30,58,Loam,Winter,163,81,20,69,5.9,Chili
3.2,Flood,30,22,Clay,Summer,130,76,41,65,6.1,Lemon
2.5,Sprinkler,36,26,Clay,Winter,120,69,22,70,5.6,Cranberry Bean
4.7,Flood,15,19,Loam,Monsoon,194,94,25,54,6.2,Mango
1.4,Sprinkler,62,62,Sandy,Rainy,194,59,48,52,6.9,Avocado
3.7,Flood,21,67,Sandy,Monsoon,235,64,48,56,5.8,Maize
4.4,Flood,44,28,Sandy,Rainy,163,55,21,65,7.3,Papaya
1.5,Sprinkler,44,26,Sandy,Rainy,249,69,50,79,5.7,Chia Seeds
2.4,Flood,66,28,Loam,Winter,116,72,30,53,7.3,Onion
1.2,Flood,12,20,Clay,Winter,232,67,20,76,5.6,Coffee
3.0,Flood,60,50,Clay,Winter,177,72,35,51,7.3,Sunflower Seeds
2.1,Flood,65,11,Sandy,Monsoon,156,68,38,55,7.4,Mint
4.0,Drip,59,49,Sandy,Rainy,246,66,46,57,6.1,Carrot
3.5,Drip,44,52,Sandy,Summer,132,74,45,56,5.9,Flax Seeds
2.4,Sprinkler,49,42,Clay,Summer,233,92,22,72,6.6,Mushroom
1.3,Flood,16,47,Clay,Summer,129,97,22,57,6.4,Mustard
4.3,Flood,11,28,Loam,Winter,147,85,24,66,6.4,Maize
4.0,Drip,19,52,Loam,Winter,223,88,39,53,5.6,Barley
2.2,Drip,55,34,Clay,Monsoon,225,81,39,76,6.3,Chili Pepper
2.0,Sprinkler,32,36,Loam,Rainy,140,78,37,58,6.2,Cabbage
3.5,Sprinkler,61,56,Sandy,Monsoon,102,99,39,62,5.5,Tobacco
3.1,Drip,36,54,Loam,Monsoon,121,85,25,77,6.4,Soybean
1.1,Flood,13,10,Sandy,Rainy,190,77,30,51,7.4,Peas
4.6,Drip,28,26,Sandy,Rainy,156,54,40,58,7.0,Watermelon
4.3,Flood,12,57,Sandy,Summer,177,81,45,76,6.2,Spinach
1.4,Sprinkler,64,22,Clay,Rainy,155,59,40,56,6.8,Jute
2.8,Sprinkler,31,58,Sandy,Rainy,120,56,27,75,6.5,Papaya
1.4,Flood,28,63,Loam,Summer,189,56,47,58,5.9,Cucumber
4.0,Flood,65,29,Loam,Rainy,164,84,24,50,5.7,Sugarcane
4.2,Sprinkler,70,56,Loam,Summer,162,54,35,54,6.0,Carrot
1.7,Flood,36,42,Sandy,Summer,197,51,30,50,7.0,Cotton
1.7,Sprinkler,67,25,Loam,Winter,242,75,25,67,7.0,Pumpkin Seeds
1.3,Drip,68,55,Clay,Rainy,103,65,35,53,5.9,Lemon
2.1,Flood,13,68,Sandy,Rainy,118,51,50,72,7.1,Yam
4.3,Drip,41,58,Loam,Monsoon,173,96,22,58,6.6,Cassava
1.8,Sprinkler,25,56,Sandy,Rainy,169,55,49,63,6.8,Wheat
3.5,Drip,24,36,Sandy,Winter,128,62,31,51,5.5,Maize
4.6,Drip,16,67,Clay,Winter,207,93,48,60,6.5,Ginger
4.4,Flood,32,54,Sandy,Monsoon,209,68,40,50,6.1,Avocado
4.3,Drip,22,41,Sandy,Rainy,132,67,40,55,5.9,Pumpkin
3.9,Drip,60,48,Sandy,Rainy,121,90,50,51,6.5,Oats
4.2,Flood,21,27,Loam,Summer,237,72,28,67,6.3,Maize
2.2,Sprinkler,65,47,Sandy,Rainy,209,62,23,53,5.7,Lima Bean
3.5,Drip,16,39,Loam,Summer,125,93,47,52,7.4,Cauliflower
4.6,Drip,18,69,Loam,Summer,207,96,25,68,6.2,Pumpkin
2.9,Drip,13,21,Sandy,Rainy,184,84,46,71,5.6,Tomato
1.1,Sprinkler,19,43,Loam,Rainy,152,66,32,60,5.6,Sesame
3.3,Flood,51,67,Loam,Summer,142,61,41,80,7.5,Peas
4.4,Drip,35,52,Clay,Rainy,241,93,25,60,7.0,Navy Bean
3.9,Drip,31,45,Clay,Monsoon,209,93,43,80,6.9,Broad Bean
2.7,Sprinkler,16,43,Loam,Monsoon,139,60,48,55,5.7,Fava Bean
2.5,Drip,17,27,Sandy,Monsoon,166,82,33,50,6.4,Turmeric
2.4,Drip,60,34,Loam,Summer,147,77,39,69,6.4,Avocado
4.1,Drip,28,52,Clay,Rainy,109,87,43,54,7.3,Soybean
4.3,Flood,59,53,Loam,Winter,130,69,28,63,5.5,Onion
2.6,Flood,20,50,Loam,Monsoon,236,69,42,75,5.7,Kale
2.7,Drip,65,49,Clay,Winter,126,71,26,66,6.2,Pumpkin Seeds
2.1,Sprinkler,27,60,Clay,Rainy,182,78,27,63,7.4,Mango
4.9,Flood,41,46,Sandy,Rainy,195,99,34,74,5.6,Banana
3.1,Flood,11,38,Clay,Winter,171,53,32,70,6.4,Papaya
2.8,Sprinkler,18,57,Clay,Monsoon,146,95,34,51,5.6,Coriander
2.1,Sprinkler,50,66,Sandy,Summer,249,92,27,53,7.2,Cauliflower
1.5,Flood,14,44,Clay,Monsoon,161,83,48,65,6.6,Safflower
2.2,Flood,29,55,Loam,Summer,173,76,33,69,5.5,Wheat
2.1,Sprinkler,53,61,Sandy,Summer,157,73,49,62,5.8,Pinto Bean
4.8,Sprinkler,26,16,Sandy,Winter,157,95,46,70,7.2,Cauliflower
2.6,Drip,33,57,Loam,Rainy,245,71,23,76,6.9,Taro
1.5,Sprinkler,65,30,Loam,Summer,225,50,50,75,6.8,Lettuce
4.5,Drip,39,13,Loam,Summer,220,96,49,71,5.7,Jute
2.0,Flood,62,32,Loam,Rainy,226,75,23,67,7.2,Cotton
2.2,Flood,44,33,Clay,Summer,137,67,20,77,5.8,Mung Bean
3.8,Sprinkler,29,17,Sandy,Winter,231,90,32,64,6.1,Chickpea
3.0,Drip,64,55,Sandy,Winter,122,81,26,80,5.5,Safflower
3.7,Sprinkler,66,40,Clay,Monsoon,214,77,34,78,7.0,Lima Bean
4.1,Drip,56,47,Sandy,Winter,240,55,39,64,5.9,Grapes
1.8,Sprinkler,23,22,Sandy,Monsoon,235,52,45,57,6.3,Barley
1.8,Sprinkler,41,14,Clay,Monsoon,204,100,33,55,7.0,Lemon
3.9,Sprinkler,70,12,Loam,Monsoon,167,62,31,64,6.5,Tomato
1.7,Drip,10,65,Sandy,Summer,159,61,45,57,7.2,Hemp
4.4,Flood,26,40,Clay,Monsoon,236,88,32,79,7.4,Maize
3.6,Drip,33,16,Sandy,Rainy,218,76,36,52,6.4,Sunflower
1.2,Flood,41,35,Sandy,Summer,220,69,33,75,6.0,Coriander
4.3,Sprinkler,37,23,Loam,Summer,180,53,24,50,6.5,Basil
5.0,Flood,69,32,Loam,Summer,102,95,26,52,7.0,Wheat
4.1,Flood,10,50,Sandy,Summer,191,91,24,72,6.4,Guava
2.4,Sprinkler,37,62,Clay,Summer,161,70,22,73,6.5,Peas
2.0,Sprinkler,70,23,Clay,Winter,186,71,44,79,5.8,Hemp
3.2,Drip,18,38,Loam,Monsoon,196,57,23,69,6.5,Peanut
2.1,Flood,66,16,Sandy,Summer,200,93,43,52,6.1,Safflower
4.4,Drip,48,10,Loam,Monsoon,196,98,40,60,6.7,Fava Bean
3.1,Sprinkler,56,28,Clay,Winter,150,64,50,69,6.8,Sunflower
4.1,Sprinkler,49,58,Clay,Winter,165,65,20,79,6.0,Beetroot
1.8,Drip,69,38,Sandy,Monsoon,159,52,39,61,6.9,Radish
3.9,Drip,26,12,Sandy,Monsoon,191,88,44,67,7.5,Yam
4.4,Drip,14,15,Clay,Summer,137,76,38,56,5.7,Coffee
4.8,Flood,54,59,Clay,Winter,142,74,45,80,5.7,Black Bean
1.3,Flood,10,27,Sandy,Rainy,227,68,49,58,6.9,Kale
2.1,Flood,34,34,Clay,Rainy,132,82,43,53,6.2,Hemp
2.7,Drip,43,24,Sandy,Monsoon,217,97,34,69,7.3,Soybean
3.0,Sprinkler,63,27,Clay,Summer,223,56,21,76,6.0,Lettuce
2.6,Flood,26,59,Sandy,Monsoon,233,52,48,58,6.8,Apple
1.1,Sprinkler,11,46,Loam,Rainy,208,75,35,79,7.2,Tomato
2.4,Drip,24,52,Sandy,Rainy,106,88,24,65,5.9,Soybean
4.6,Drip,57,27,Clay,Monsoon,178,99,28,77,7.3,Rice
4.0,Sprinkler,11,26,Clay,Monsoon,220,50,42,52,6.8,Jute
2.0,Sprinkler,50,45,Loam,Summer,118,69,50,59,7.2,Garlic
1.6,Sprinkler,62,63,Loam,Winter,236,86,21,65,5.7,Lettuce
4.7,Drip,55,18,Sandy,Monsoon,209,73,30,66,5.9,Tea
3.1,Drip,12,69,Sandy,Monsoon,246,98,25,63,7.4,Pineapple
3.6,Drip,56,38,Sandy,Monsoon,220,63,24,59,5.8,Kidney Bean
2.3,Sprinkler,38,32,Loam,Monsoon,209,59,38,65,6.7,Cabbage
4.3,Flood,42,22,Clay,Rainy,211,82,31,63,6.4,Potato
2.2,Sprinkler,55,34,Sandy,Winter,159,62,37,69,7.3,Chili
1.2,Flood,56,41,Clay,Summer,104,66,33,70,6.0,Kale
3.5,Flood,37,32,Clay,Rainy,214,51,25,65,6.2,Pomegranate
2.0,Sprinkler,70,42,Loam,Summer,197,78,21,72,7.0,Kale
3.1,Sprinkler,37,26,Clay,Rainy,135,52,32,56,7.3,Fava Bean
3.0,Sprinkler,62,51,Clay,Rainy,235,58,42,65,6.0,Grapes
2.0,Drip,51,53,Loam,Summer,151,59,20,62,6.5,Onion
1.3,Drip,60,35,Sandy,Monsoon,237,82,39,56,6.1,Lettuce
4.7,Sprinkler,56,12,Loam,Monsoon,125,94,47,68,7.3,Groundnut
2.5,Drip,23,34,Loam,Summer,159,56,28,78,6.4,Cauliflower
3.9,Sprinkler,60,40,Sandy,Monsoon,231,79,42,56,7.0,Turmeric
3.9,Flood,41,50,Sandy,Monsoon,202,65,27,70,5.8,Cabbage
2.1,Flood,28,20,Clay,Rainy,179,51,42,71,5.9,Brinjal
4.0,Sprinkler,49,26,Sandy,Winter,176,84,30,55,5.9,Watermelon
4.1,Flood,42,66,Loam,Rainy,217,86,33,54,6.4,Navy Bean
4.5,Drip,14,44,Loam,Summer,232,78,24,66,6.7,Cranberry Bean
1.3,Sprinkler,69,61,Sandy,Rainy,159,54,41,73,6.5,Onion
4.1,Sprinkler,18,55,Loam,Winter,113,60,40,51,6.8,Sunflower Seeds
1.9,Sprinkler,48,58,Clay,Winter,220,69,33,69,7.4,Cauliflower
4.8,Flood,26,66,Clay,Winter,132,53,23,65,6.0,Tobacco
3.3,Sprinkler,48,20,Loam,Rainy,107,92,33,56,6.8,Kale
3.2,Drip,69,35,Sandy,Rainy,235,73,41,60,6.5,Sweet Potato
3.2,Flood,40,64,Loam,Summer,152,99,30,76,6.5,Maize
3.6,Flood,60,58,Loam,Summer,131,78,44,50,6.5,Ginger
4.6,Flood,35,41,Clay,Summer,153,83,49,66,6.0,Parsley
1.1,Drip,58,47,Loam,Rainy,163,65,42,61,5.6,Broad Bean
4.2,Flood,70,55,Loam,Winter,197,91,41,76,7.1,Pomegranate
2.5,Flood,30,56,Sandy,Summer,211,82,30,68,6.1,Sunflower
2.8,Sprinkler,11,67,Sandy,Summer,103,59,36,57,6.8,Hemp
2.0,Drip,28,60,Clay,Winter,164,95,40,52,5.9,Parsley
2.0,Drip,63,46,Loam,Monsoon,158,61,50,76,7.3,Papaya
2.8,Drip,68,55,Sandy,Monsoon,113,80,25,57,7.1,Maize
4.4,Sprinkler,36,47,Sandy,Rainy,131,67,23,77,5.8,Cauliflower
2.2,Sprinkler,51,33,Loam,Rainy,146,98,45,80,6.8,Kale
3.7,Drip,29,29,Clay,Summer,137,60,46,72,5.7,Parsley
2.4,Flood,29,66,Sandy,Monsoon,164,96,42,69,6.6,Kale
1.4,Flood,25,41,Loam,Winter,187,97,23,69,5.8,Maize
4.7,Sprinkler,52,27,Clay,Winter,166,50,31,69,7.1,Cranberry Bean
1.5,Flood,64,39,Sandy,Winter,129,63,23,72,5.7,Mint
3.5,Flood,19,29,Clay,Monsoon,189,100,44,74,5.9,Rice
3.9,Drip,48,36,Sandy,Winter,127,73,48,64,7.3,Potato
3.5,Drip,49,63,Loam,Winter,207,64,23,59,7.0,Turmeric
3.5,Drip,18,70,Loam,Monsoon,159,87,40,60,7.0,Peas
3.0,Sprinkler,46,41,Clay,Winter,102,89,37,67,5.8,Spinach
1.9,Flood,33,24,Loam,Winter,179,66,24,66,6.7,Black Bean
4.2,Sprinkler,40,33,Sandy,Monsoon,124,74,20,74,6.0,Guava
1.5,Sprinkler,63,51,Clay,Monsoon,172,67,39,73,7.0,Sunflower Seeds
4.6,Drip,12,18,Clay,Monsoon,139,73,42,75,7.3,Onion
2.8,Flood,16,35,Clay,Rainy,126,68,49,54,6.7,Pomegranate
1.2,Sprinkler,51,42,Clay,Rainy,191,92,21,76,7.0,Papaya
4.3,Sprinkler,20,12,Clay,Monsoon,113,92,35,59,7.1,Tea
4.4,Drip,49,68,Clay,Monsoon,102,69,36,75,5.9,Jute
3.2,Sprinkler,27,24,Loam,Summer,153,70,35,74,6.4,Brinjal
1.3,Drip,56,14,Clay,Summer,238,89,30,67,5.6,Pumpkin
1.4,Sprinkler,25,11,Sandy,Winter,229,52,37,73,6.7,Sugarcane
3.5,Drip,19,37,Loam,Rainy,148,86,31,68,7.4,Rice
3.2,Drip,15,20,Loam,Summer,161,55,32,58,6.2,Mushroom
1.7,Drip,14,58,Loam,Summer,134,92,23,79,5.8,Chili Pepper
2.4,Sprinkler,66,46,Clay,Monsoon,188,80,39,68,5.6,Potato
3.6,Drip,31,60,Clay,Monsoon,148,72,27,73,7.4,Sesame
2.5,Sprinkler,12,13,Sandy,Monsoon,212,72,49,51,6.0,Turmeric
4.1,Flood,57,53,Sandy,Rainy,126,65,43,52,6.5,Pineapple
3.3,Flood,61,42,Loam,Winter,212,56,32,68,6.5,Mustard
4.0,Drip,65,61,Clay,Rainy,149,62,28,73,6.4,Coffee
2.5,Sprinkler,52,70,Loam,Monsoon,111,64,46,62,5.8,Carrot
3.5,Flood,18,19,Loam,Summer,107,85,47,61,6.4,Tomato
4.1,Sprinkler,58,20,Clay,Summer,118,76,27,53,6.0,Cabbage
4.9,Flood,61,67,Loam,Monsoon,159,63,26,57,6.4,Tobacco
3.9,Sprinkler,49,58,Sandy,Summer,199,91,34,62,6.6,Sunflower Seeds
3.4,Flood,39,46,Loam,Summer,223,77,30,61,6.8,Radish
4.6,Drip,36,70,Sandy,Summer,169,53,36,74,5.9,Parsley
1.2,Sprinkler,23,55,Clay,Winter,191,94,41,62,6.0,Broad Bean
4.3,Sprinkler,22,13,Sandy,Monsoon,153,65,42,73,7.0,Coriander
4.1,Flood,38,62,Sandy,Monsoon,188,69,42,63,6.7,Zucchini
1.8,Sprinkler,41,20,Loam,Summer,196,55,31,58,7.2,Sunflower Seeds
1.3,Flood,51,59,Sandy,Summer,135,94,42,75,7.4,Turmeric
2.9,Sprinkler,44,35,Clay,Summer,156,52,33,58,5.7,Barley
4.1,Sprinkler,35,42,Sandy,Summer,149,62,25,62,6.8,Dragonfruit
1.4,Drip,65,28,Loam,Monsoon,209,56,29,63,6.0,Jute
2.7,Drip,20,62,Loam,Winter,216,62,27,62,7.5,Cucumber
1.1,Flood,31,62,Sandy,Winter,210,78,38,65,5.8,Tobacco
2.6,Sprinkler,39,14,Clay,Summer,106,96,21,78,6.6,Lettuce
3.2,Drip,46,60,Loam,Winter,227,87,32,80,6.9,Sunflower Seeds
2.4,Drip,44,44,Clay,Winter,169,100,42,65,5.7,Pumpkin Seeds
2.9,Sprinkler,30,18,Clay,Monsoon,250,64,40,56,6.2,Cucumber
2.6,Drip,19,54,Clay,Rainy,168,84,40,77,7.3,Fava Bean
4.3,Sprinkler,49,35,Clay,Summer,118,59,47,63,6.8,Sugarcane
3.8,Sprinkler,13,45,Clay,Winter,181,85,39,76,5.8,Navy Bean
4.6,Drip,49,53,Loam,Winter,171,60,44,78,6.3,Maize
2.6,Drip,56,48,Clay,Rainy,131,72,38,50,7.3,Cotton
1.1,Drip,28,17,Clay,Summer,115,92,21,57,6.2,Chickpea
5.0,Drip,13,44,Loam,Rainy,240,78,21,61,6.5,Chili
1.1,Drip,20,36,Clay,Winter,215,68,35,75,6.7,Taro
3.1,Flood,14,43,Clay,Monsoon,154,71,34,76,5.5,Fava Bean
2.3,Flood,40,28,Sandy,Monsoon,126,100,26,51,6.5,Chili
2.3,Flood,62,36,Clay,Winter,130,71,29,60,6.1,Brinjal
4.3,Flood,29,64,Loam,Winter,130,71,30,60,7.1,Safflower
3.6,Sprinkler,69,48,Loam,Rainy,205,100,49,63,6.9,Black Bean
1.9,Sprinkler,44,28,Sandy,Summer,196,86,42,50,6.7,Beetroot
4.5,Drip,48,33,Loam,Summer,187,63,47,67,7.4,Lima Bean
1.7,Drip,13,13,Sandy,Summer,100,99,44,73,5.6,Cranberry Bean
2.0,Flood,45,30,Sandy,Rainy,193,52,28,70,6.6,Spinach
3.3,Sprinkler,41,45,Clay,Winter,152,56,30,74,6.4,Soybean
1.6,Sprinkler,37,46,Loam,Summer,148,87,41,76,5.9,Tobacco
4.0,Sprinkler,67,59,Clay,Rainy,241,73,25,54,6.8,Coconut
