Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Soil_Type,Season,Rainfall(mm),Nitrogen,Phosphorus,Potassium,pH_Value,Crop
4.1,Sprinkler,39,33,Sandy,Rainy,224,93,43,74,5.6,Oats
4.9,Drip,35,47,Clay,Rainy,177,88,49,60,6.3,Navy Bean
1.5,Sprinkler,54,29,Clay,Winter,165,78,39,50,5.6,Broad Bean
1.7,Drip,62,25,Clay,Monsoon,105,95,44,68,5.7,Oats
1.1,Flood,67,37,Sandy,Winter,153,66,48,74,6.6,Soybean
1.2,Sprinkler,62,11,Sandy,Monsoon,147,51,27,54,6.2,Jute
1.3,Flood,59,16,Sandy,Summer,139,89,29,57,7.3,Chia Seeds
2.1,Flood,17,69,Sandy,Rainy,241,62,45,65,6.4,Oats
3.1,Sprinkler,23,30,Loam,Rainy,246,87,34,54,5.7,Chili
3.6,Sprinkler,56,32,Clay,Summer,172,93,45,62,6.7,Pomegranate
4.5,Flood,47,36,Sandy,Rainy,198,98,33,80,7.1,Sunflower
2.2,Drip,55,27,Clay,Summer,201,65,36,77,7.1,Brinjal
2.0,Flood,50,27,Sandy,Winter,151,56,42,64,7.4,Brinjal
3.9,Sprinkler,13,41,Clay,Monsoon,243,78,25,77,7.0,Oats
1.2,Sprinkler,44,25,Clay,Winter,148,87,50,80,5.5,Mung Bean
4.6,Flood,41,66,Clay,Winter,173,85,21,58,6.4,Sugarcane
2.8,Sprinkler,68,61,Sandy,Winter,118,89,42,58,6.3,Pineapple
4.8,Flood,61,49,Sandy,Monsoon,159,58,50,53,5.8,Mung Bean
2.4,Flood,19,66,Clay,Monsoon,163,55,44,56,6.3,Hemp
1.1,Flood,28,10,Clay,Monsoon,124,75,31,75,6.5,Cassava
4.4,Sprinkler,44,70,Clay,Winter,194,64,26,59,7.2,Mushroom
1.4,Drip,62,43,Clay,Rainy,175,57,21,76,6.2,Mint
1.9,Drip,49,15,Clay,Winter,211,64,33,54,7.4,Jute
3.9,Drip,50,52,Sandy,Monsoon,186,50,33,80,5.9,Mango
1.2,Sprinkler,62,64,Loam,Winter,105,97,26,75,6.8,Apple
2.7,Drip,69,22,Loam,Monsoon,117,85,30,77,5.8,Lentil
1.9,Sprinkler,45,48,Sandy,Monsoon,142,71,47,54,6.2,Flax Seeds
4.4,Flood,62,18,Clay,Rainy,137,81,40,55,7.5,Cotton
2.4,Flood,43,38,Clay,Rainy,191,55,20,71,5.7,Rice
4.3,Flood,11,11,Sandy,Summer,125,80,46,66,6.9,Cucumber
5.0,Sprinkler,45,62,Sandy,Summer,250,73,31,56,5.9,Maize
2.0,Flood,10,31,Sandy,Summer,104,71,33,62,6.6,Guava
1.9,Drip,30,18,Clay,Winter,233,71,43,64,6.6,Garlic
2.2,Drip,19,42,Sandy,Winter,184,55,44,58,6.1,Cotton
2.0,Flood,10,55,Loam,Winter,249,64,26,60,7.4,Sunflower
1.3,Flood,47,66,Sandy,Winter,163,72,33,79,5.8,Tomato
3.3,Drip,50,21,Clay,Summer,114,90,23,71,6.2,Ginger
1.4,Drip,30,10,Sandy,Monsoon,119,59,50,53,6.6,Cucumber
2.0,Flood,25,21,Loam,Monsoon,193,85,30,79,7.0,Soybean
2.0,Sprinkler,24,45,Clay,Rainy,198,78,49,59,5.6,Kidney Bean
3.0,Sprinkler,31,70,Sandy,Winter,247,92,30,50,6.4,Cranberry Bean
2.0,Flood,32,66,Sandy,Winter,127,72,42,53,7.3,Sunflower
4.2,Drip,10,31,Sandy,Winter,194,79,36,72,6.8,Coffee
4.4,Drip,15,54,Sandy,Summer,118,71,42,65,5.8,Garlic
2.8,Flood,17,33,Loam,Monsoon,216,79,29,58,6.9,Potato
3.4,Flood,24,54,Clay,Rainy,161,93,27,56,7.1,Fava Bean
1.5,Flood,48,17,Sandy,Monsoon,138,91,25,65,5.7,Beetroot
4.1,Sprinkler,24,12,Sandy,Monsoon,243,59,44,64,7.4,Mint
1.8,Sprinkler,53,59,Loam,Winter,245,84,34,70,7.2,Fava Bean
3.2,Drip,26,41,Loam,Winter,149,89,30,72,6.5,Coriander
2.6,Flood,61,28,Loam,Rainy,137,65,43,79,6.1,Pineapple
3.6,Flood,69,34,Clay,Summer,229,77,26,52,5.9,Cotton
4.1,Sprinkler,55,68,Loam,Monsoon,119,85,23,60,6.1,Sunflower
2.9,Drip,63,38,Loam,Monsoon,112,51,47,55,6.8,Apple
2.8,Sprinkler,44,14,Sandy,Rainy,213,66,25,60,5.8,Black Bean
2.4,Sprinkler,45,23,Loam,Summer,173,95,41,52,7.2,Lemon
2.7,Sprinkler,20,37,Clay,Summer,157,78,36,61,7.1,Fava Bean
4.8,Sprinkler,47,24,Sandy,Summer,198,83,21,55,6.6,Coriander
3.7,Drip,47,11,Sandy,Monsoon,176,56,28,69,7.4,Coconut
1.7,Sprinkler,11,38,Sandy,Winter,154,59,35,50,7.0,Tobacco
3.4,Sprinkler,48,37,Clay,Monsoon,217,82,40,79,6.1,Mushroom
2.4,Flood,19,14,Clay,Summer,150,76,39,62,6.5,Carrot
3.7,Drip,14,52,Sandy,Monsoon,187,75,22,72,7.2,Grapes
3.9,Flood,38,18,Loam,Summer,178,84,31,54,5.5,Lima Bean
1.7,Drip,61,23,Loam,Winter,130,90,22,57,7.2,Hemp
4.0,Drip,17,13,Loam,Monsoon,198,77,42,60,6.0,Navy Bean
1.6,Sprinkler,38,42,Clay,Monsoon,186,91,41,73,6.8,Sugarcane
2.0,Flood,55,16,Clay,Rainy,239,83,43,57,6.5,Turmeric
2.9,Drip,29,10,Clay,Summer,211,99,41,70,5.6,Oats
3.1,Drip,20,39,Sandy,Summer,201,91,26,75,6.7,Kidney Bean
4.7,Drip,26,68,Sandy,Winter,136,74,36,70,6.4,Mint
3.1,Drip,35,35,Sandy,Summer,239,76,49,55,7.2,Parsley
2.0,Flood,32,31,Clay,Winter,100,74,47,50,7.3,Hemp
2.3,Sprinkler,57,58,Loam,Winter,126,59,37,63,5.7,Papaya
1.6,Flood,37,44,Clay,Rainy,229,68,47,54,7.4,Avocado
1.0,Drip,61,12,Sandy,Winter,161,93,48,80,5.9,Tomato
4.3,Sprinkler,61,49,Sandy,Summer,135,61,46,63,7.0,Mango
1.5,Sprinkler,14,22,Loam,Rainy,162,65,20,60,5.9,Sweet Potato
1.8,Flood,67,21,Loam,Summer,219,59,25,62,7.0,Parsley
2.4,Drip,57,42,Clay,Winter,218,70,24,60,5.7,Safflower
1.1,Drip,54,39,Loam,Monsoon,202,66,22,52,6.9,Cabbage
4.0,Sprinkler,56,54,Sandy,Summer,205,68,29,69,7.2,Lemon
2.6,Sprinkler,67,67,Clay,Summer,183,67,35,69,5.7,Soybean
2.6,Flood,64,23,Clay,Summer,231,60,28,58,5.5,Pumpkin Seeds
1.4,Flood,24,69,Clay,Monsoon,108,85,48,54,6.7,Mustard
3.9,Flood,59,24,Clay,Summer,111,86,22,50,6.7,Navy Bean
2.3,Flood,24,58,Loam,Rainy,241,98,21,58,7.1,Black Bean
3.5,Flood,63,66,Clay,Monsoon,196,68,36,62,7.0,Tea
4.3,Drip,41,44,Sandy,Rainy,129,53,28,72,5.9,Ginger
2.3,Sprinkler,59,52,Loam,Rainy,219,58,35,74,6.2,Watermelon
3.9,Sprinkler,58,28,Loam,Rainy,146,63,43,55,7.2,Hemp
1.2,Flood,48,15,Loam,Rainy,250,96,26,73,6.2,Cranberry Bean
4.9,Sprinkler,27,15,Clay,Winter,123,85,33,75,5.6,Tea
4.1,Sprinkler,22,46,Loam,Rainy,248,80,28,59,5.6,Sugarcane
3.4,Flood,48,34,Sandy,Winter,193,64,27,56,7.4,Avocado
4.9,Sprinkler,46,48,Loam,Summer,119,83,22,63,5.7,Sugarcane
4.1,Sprinkler,42,46,Clay,Winter,101,61,26,79,6.6,Flax Seeds
2.3,Sprinkler,28,39,Loam,Winter,104,71,32,79,6.0,Oats
1.4,Flood,11,68,Clay,Rainy,223,50,35,73,6.8,Coffee
3.2,Flood,45,35,Loam,Rainy,119,57,42,77,5.7,Garlic
3.2,Drip,20,56,Sandy,Monsoon,213,97,39,54,5.9,Spinach
2.5,Flood,57,26,Clay,Monsoon,187,85,36,58,7.4,Pinto Bean
1.9,Drip,27,40,Loam,Monsoon,108,51,47,54,6.0,Turmeric
2.0,Drip,35,20,Clay,Monsoon,105,99,50,63,6.9,Garlic
2.4,Drip,70,56,Loam,Rainy,138,69,37,63,7.0,Lemon
3.4,Drip,49,14,Clay,Rainy,241,64,22,73,7.0,Onion
4.4,Sprinkler,26,51,Sandy,Rainy,230,54,42,59,6.2,Dragonfruit
1.7,Sprinkler,43,27,Loam,Monsoon,234,86,24,75,6.6,Fava Bean
4.9,Flood,58,61,Sandy,Summer,161,64,41,51,5.8,Chili Pepper
2.9,Drip,29,10,Loam,Monsoon,107,83,39,75,5.9,Guava
1.9,Drip,27,15,Clay,Winter,203,55,33,80,7.4,Chickpea
2.1,Drip,30,46,Loam,Winter,134,58,29,69,6.8,Peanut
1.0,Drip,33,16,Sandy,Summer,175,73,47,59,6.0,Parsley
1.4,Sprinkler,32,34,Clay,Monsoon,212,83,36,79,6.0,Sugarcane
1.0,Flood,32,18,Clay,Monsoon,155,64,35,66,7.2,Dragonfruit
3.4,Sprinkler,53,69,Sandy,Winter,123,64,48,75,7.4,Potato
2.3,Flood,25,60,Loam,Summer,107,62,40,57,7.3,Watermelon
1.5,Drip,38,64,Clay,Winter,121,94,25,65,6.1,Apple
1.7,Flood,61,59,Sandy,Rainy,247,87,30,57,5.9,Guava
3.7,Sprinkler,12,21,Sandy,Winter,100,78,39,67,5.5,Tobacco
3.6,Drip,33,34,Sandy,Summer,213,86,38,73,6.9,Peanut
1.2,Drip,19,24,Loam,Winter,241,95,29,54,6.7,Chickpea
2.1,Sprinkler,24,49,Clay,Summer,167,50,43,71,7.2,Coriander
1.8,Drip,36,28,Sandy,Summer,130,59,34,79,7.5,Zucchini
2.6,Flood,21,39,Clay,Rainy,210,97,29,58,6.2,Cabbage
2.8,Sprinkler,39,18,Loam,Winter,104,66,27,68,5.8,Oats
3.0,Sprinkler,38,23,Clay,Rainy,118,79,49,73,6.9,Apple
4.3,Flood,36,42,Loam,Monsoon,185,50,27,74,6.5,Pumpkin
1.5,Sprinkler,13,13,Loam,Monsoon,174,91,20,56,7.2,Flax Seeds
4.5,Drip,61,68,Loam,Summer,162,88,50,57,7.1,Watermelon
1.8,Drip,10,21,Clay,Winter,165,94,41,54,6.4,Carrot
3.4,Sprinkler,31,23,Clay,Rainy,148,76,45,53,6.0,Turmeric
3.7,Flood,35,42,Sandy,Summer,182,88,47,64,5.8,Cabbage
2.0,Flood,45,56,Clay,Monsoon,179,94,35,80,6.4,Cauliflower
1.7,Drip,21,65,Sandy,Summer,179,74,26,79,6.5,Groundnut
4.9,Drip,14,21,Sandy,Monsoon,196,94,48,63,7.0,Dragonfruit
2.7,Drip,21,39,Clay,Winter,211,81,45,50,7.0,Turmeric
2.0,Drip,16,28,Clay,Winter,189,74,33,55,5.6,Oats
4.1,Drip,64,59,Clay,Summer,161,74,25,59,5.9,Coffee
3.5,Sprinkler,69,37,Loam,Rainy,170,78,35,69,6.3,Parsley
2.1,Flood,28,21,Clay,Monsoon,227,74,21,64,5.8,Kidney Bean
4.5,Flood,35,40,Loam,Rainy,115,53,39,56,7.2,Sunflower
2.3,Flood,27,69,Loam,Rainy,220,53,28,58,7.0,Pumpkin
1.6,Drip,25,63,Loam,Monsoon,209,62,45,75,5.6,Guava
3.8,Drip,32,66,Sandy,Rainy,142,59,37,53,7.4,Soybean
2.9,Drip,49,32,Loam,Monsoon,117,86,42,53,5.7,Black Bean
2.5,Flood,62,13,Sandy,Winter,102,91,24,79,7.1,Chickpea
2.8,Flood,17,17,Loam,Winter,154,86,25,70,5.7,Sesame
4.6,Sprinkler,59,13,Clay,Rainy,224,83,34,79,6.0,Banana
4.1,Drip,27,19,Clay,Winter,185,97,27,53,6.5,Jute
2.3,Sprinkler,28,49,Loam,Rainy,139,92,44,66,6.8,Ginger
1.9,Flood,33,51,Sandy,Rainy,151,92,48,79,6.1,Coconut
2.3,Drip,43,50,Clay,Monsoon,233,95,42,71,7.3,Safflower
2.4,Sprinkler,55,14,Sandy,Rainy,155,88,47,57,6.8,Mung Bean
3.1,Sprinkler,12,57,Clay,Summer,238,96,21,60,7.5,Lettuce
4.8,Drip,70,31,Clay,Summer,178,71,31,75,6.9,Flax Seeds
2.1,Drip,32,44,Loam,Monsoon,245,86,32,79,7.1,Carrot
2.6,Drip,32,37,Clay,Winter,204,91,41,63,6.0,Cassava
2.4,Sprinkler,44,23,Clay,Monsoon,148,61,49,68,7.4,Carrot
4.7,Sprinkler,58,48,Clay,Rainy,101,86,43,77,7.2,Lentil
1.5,Sprinkler,51,34,Loam,Summer,177,80,47,54,5.8,Pumpkin Seeds
3.9,Drip,22,65,Loam,Monsoon,106,79,41,80,6.4,Chia Seeds
1.8,Flood,15,57,Clay,Winter,221,99,21,66,5.8,Beetroot
3.1,Flood,41,64,Loam,Winter,176,57,36,69,7.3,Papaya
1.9,Drip,60,64,Loam,Rainy,164,84,47,76,7.1,Chili
3.8,Flood,53,17,Clay,Rainy,173,84,32,59,7.2,Taro
2.1,Flood,22,16,Sandy,Summer,177,98,35,80,5.7,Avocado
3.4,Sprinkler,38,26,Loam,Monsoon,163,90,34,68,7.1,Parsley
1.2,Flood,24,22,Loam,Summer,104,91,23,59,6.2,Pumpkin Seeds
3.2,Drip,31,58,Loam,Rainy,222,51,37,77,6.7,Mung Bean
1.9,Drip,31,13,Loam,Winter,203,67,38,58,5.8,Sesame
1.5,Drip,14,12,Sandy,Rainy,100,76,24,80,5.6,Tobacco
2.8,Sprinkler,42,35,Sandy,Summer,174,75,38,59,6.5,Kidney Bean
2.6,Flood,57,10,Clay,Monsoon,150,79,23,53,6.4,Lettuce
3.1,Drip,16,63,Clay,Summer,120,67,21,50,6.4,Sunflower
3.2,Drip,20,54,Sandy,Rainy,154,81,33,73,5.6,Soybean
3.6,Drip,47,42,Sandy,Winter,141,94,20,78,6.5,Pumpkin Seeds
1.2,Drip,43,30,Loam,Summer,201,76,48,73,5.8,Oats
4.3,Flood,62,38,Loam,Summer,175,86,35,52,6.6,Broad Bean
3.4,Sprinkler,57,28,Sandy,Summer,229,63,34,53,5.6,Tomato
4.5,Drip,45,22,Sandy,Summer,203,80,26,52,7.3,Parsley
3.8,Drip,15,20,Loam,Monsoon,128,77,23,63,5.8,Tea
2.4,Drip,36,36,Loam,Rainy,233,50,25,76,6.5,Radish
1.6,Flood,51,32,Loam,Monsoon,118,69,43,79,6.8,Potato
3.3,Sprinkler,12,69,Clay,Winter,132,51,23,61,6.8,Beetroot
1.7,Drip,69,69,Loam,Winter,128,76,29,80,6.7,Ginger
1.2,Sprinkler,27,46,Loam,Winter,183,87,40,79,5.7,Soybean
4.7,Drip,55,10,Clay,Winter,243,59,43,69,6.0,Pumpkin
4.1,Sprinkler,66,41,Sandy,Monsoon,152,74,35,62,7.5,Sugarcane
4.1,Flood,66,66,Sandy,Summer,241,93,36,70,6.4,Radish
4.0,Flood,56,59,Clay,Rainy,190,63,23,77,7.0,Pumpkin Seeds
4.9,Sprinkler,41,69,Clay,Rainy,107,55,33,66,6.0,Onion
3.2,Sprinkler,13,46,Loam,Winter,122,84,31,51,7.1,Wheat
1.7,Sprinkler,69,11,Clay,Winter,153,88,48,55,6.8,Zucchini
1.5,Sprinkler,27,15,Clay,Rainy,102,60,48,52,6.0,Sesame
3.0,Flood,70,30,Loam,Winter,111,99,32,63,7.5,Fava Bean
1.5,Sprinkler,45,56,Loam,Monsoon,122,80,49,67,7.3,Groundnut
2.1,Drip,12,47,Clay,Summer,113,55,45,76,6.6,Watermelon
4.1,Flood,28,14,Clay,Winter,169,75,33,61,7.1,Pumpkin Seeds
4.0,Sprinkler,17,51,Sandy,Winter,134,87,46,72,7.0,Hemp
3.6,Flood,50,53,Clay,Monsoon,221,69,43,74,7.0,Cassava
1.7,Sprinkler,59,27,Clay,Winter,215,65,41,72,6.3,Oats
3.9,Sprinkler,69,49,Clay,Rainy,172,81,41,69,7.3,Tea
3.9,Drip,61,40,Clay,Summer,102,66,47,52,6.5,Soybean
3.7,Flood,36,23,Sandy,Rainy,156,58,47,63,6.4,Onion
3.9,Sprinkler,12,13,Sandy,Winter,192,93,50,59,5.6,Chili
5.0,Flood,31,40,Clay,Winter,190,50,38,65,7.2,Mushroom
2.0,Drip,13,10,Sandy,Monsoon,243,60,26,54,7.4,Banana
4.1,Drip,52,61,Sandy,Summer,194,74,50,51,6.1,Wheat
3.1,Sprinkler,32,61,Loam,Summer,156,63,34,69,7.1,Mustard
3.3,Drip,57,43,Loam,Monsoon,202,98,22,70,5.7,Chili
3.6,Drip,44,54,Loam,Rainy,102,70,47,64,7.2,Safflower
2.7,Sprinkler,64,66,Loam,Winter,123,91,30,72,6.5,Ginger
3.2,Drip,23,57,Clay,Winter,205,65,28,50,6.8,Wheat
3.9,Sprinkler,67,66,Clay,Monsoon,102,74,30,50,7.1,Coffee
4.8,Drip,11,58,Sandy,Monsoon,236,71,37,76,6.6,Chia Seeds
1.0,Sprinkler,34,51,Sandy,Summer,199,86,39,56,7.3,Potato
3.5,Flood,47,34,Loam,Winter,103,79,34,80,7.1,Parsley
2.8,Sprinkler,59,54,Clay,Winter,248,93,38,54,7.5,Apple
2.9,Flood,70,18,Clay,Rainy,194,87,44,69,6.6,Cotton
1.1,Drip,28,70,Sandy,Monsoon,125,75,40,58,6.8,Pomegranate
1.6,Drip,70,22,Clay,Rainy,233,97,24,79,6.6,Groundnut
4.4,Flood,43,19,Loam,Monsoon,204,99,31,78,6.4,Mung Bean
1.5,Drip,44,62,Loam,Winter,240,75,45,72,7.4,Sweet Potato
3.4,Drip,16,66,Sandy,Summer,160,98,28,66,7.0,Cauliflower
3.9,Flood,18,66,Sandy,Monsoon,226,87,23,70,5.6,Pomegranate
1.3,Flood,10,36,Sandy,Winter,162,69,35,55,6.0,Garlic
4.2,Flood,38,22,Sandy,Rainy,122,59,21,72,7.0,Cranberry Bean
1.2,Sprinkler,23,45,Loam,Summer,244,77,33,76,6.2,Barley
2.0,Flood,23,62,Clay,Rainy,166,74,47,78,5.7,Dragonfruit
3.8,Sprinkler,20,15,Loam,Monsoon,137,90,37,52,7.1,Fava Bean
3.8,Sprinkler,24,21,Loam,Monsoon,159,94,36,67,7.5,Cauliflower
3.7,Sprinkler,34,31,Clay,Summer,135,88,49,76,6.1,Sunflower
2.1,Sprinkler,11,13,Clay,Summer,209,69,34,51,6.2,Cabbage
1.1,Sprinkler,65,36,Sandy,Monsoon,219,61,34,79,6.8,Chili Pepper
3.6,Flood,13,46,Clay,Summer,107,71,37,54,6.0,Parsley
3.4,Flood,54,32,Loam,Winter,160,98,43,77,6.5,Garlic
2.6,Drip,46,60,Loam,Summer,103,72,33,56,7.1,Peanut
4.3,Flood,28,19,Clay,Rainy,104,51,39,73,7.2,Cucumber
3.7,Flood,45,28,Sandy,Rainy,151,62,21,79,6.0,Radish
2.6,Flood,11,42,Sandy,Monsoon,183,77,43,52,6.8,Rice
3.4,Drip,44,48,Loam,Rainy,170,90,48,71,6.3,Navy Bean
1.7,Flood,64,58,Sandy,Monsoon,105,55,47,54,6.7,Tobacco
2.1,Flood,68,24,Clay,Winter,141,92,47,57,6.6,Mint
2.1,Flood,21,57,Sandy,Monsoon,105,73,47,64,7.1,Watermelon
1.2,Flood,63,42,Sandy,Winter,130,86,22,54,5.6,Ginger
4.1,Flood,14,10,Clay,Winter,228,80,24,79,6.8,Chili
4.1,Sprinkler,24,31,Loam,Winter,173,79,20,72,7.3,Chili
4.9,Drip,41,62,Loam,Rainy,231,90,44,51,6.3,Potato
2.7,Drip,35,56,Sandy,Rainy,142,74,22,67,5.8,Onion
4.9,Drip,26,51,Sandy,Monsoon,133,92,24,78,6.2,Potato
4.7,Drip,35,25,Loam,Monsoon,222,58,37,76,6.7,Ginger
2.8,Sprinkler,35,64,Sandy,Monsoon,136,51,27,63,6.4,Lemon
2.8,Sprinkler,64,44,Clay,Summer,227,62,33,72,7.5,Chia Seeds
3.5,Sprinkler,23,48,Sandy,Rainy,185,66,28,69,6.0,Pomegranate
4.2,Sprinkler,67,55,Clay,Rainy,171,52,24,73,5.8,Ginger
2.5,Flood,60,10,Sandy,Rainy,182,60,26,60,6.1,Tea
2.5,Drip,51,27,Sandy,Rainy,229,69,39,54,7.3,Sesame
1.0,Sprinkler,20,27,Sandy,Rainy,171,51,23,80,5.8,Tomato
4.7,Flood,41,64,Sandy,Monsoon,230,61,28,54,5.8,Brinjal
2.0,Sprinkler,49,42,Clay,Monsoon,173,59,50,73,7.0,Mustard
1.1,Drip,37,15,Clay,Summer,172,94,31,65,5.9,Coriander
1.7,Drip,60,58,Loam,Summer,188,68,35,63,6.1,Radish
4.3,Sprinkler,37,26,Clay,Summer,174,53,22,66,7.2,Apple
1.5,Flood,32,35,Clay,Rainy,147,91,49,76,6.8,Kale
1.2,Flood,24,30,Sandy,Monsoon,210,61,21,73,5.9,Garlic
4.9,Flood,67,67,Sandy,Winter,128,99,44,54,6.2,Turmeric
3.1,Flood,50,17,Loam,Monsoon,148,90,48,58,7.0,Pinto Bean
1.8,Flood,13,23,Clay,Monsoon,121,62,20,73,7.1,Kidney Bean
3.9,Drip,18,21,Loam,Summer,114,54,26,61,5.6,Tea
1.8,Sprinkler,37,31,Sandy,Winter,114,96,44,67,7.4,Cucumber
3.4,Drip,51,23,Loam,Winter,242,53,31,57,5.6,Grapes
3.3,Sprinkler,56,15,Sandy,Rainy,225,78,47,63,6.2,Taro
3.8,Sprinkler,12,24,Clay,Rainy,239,91,49,78,7.5,Sunflower
2.2,Drip,20,17,Loam,Winter,247,58,45,71,6.7,Jute
4.1,Sprinkler,46,70,Sandy,Rainy,222,51,30,55,5.7,Potato
3.9,Flood,38,35,Clay,Monsoon,103,77,39,72,7.4,Sweet Potato
1.9,Flood,12,25,Sandy,Summer,114,66,44,67,7.5,Cassava
4.3,Flood,61,69,Clay,Summer,193,72,30,55,5.6,Mustard
3.8,Flood,26,41,Loam,Rainy,221,96,46,74,6.5,Lemon
3.1,Drip,58,57,Loam,Summer,113,62,24,60,5.8,Tomato
2.4,Drip,34,59,Clay,Winter,170,55,44,51,5.7,Peas
1.6,Drip,52,37,Sandy,Summer,152,99,35,78,5.6,Coriander
2.5,Drip,16,58,Sandy,Monsoon,112,83,25,66,6.1,Barley
4.5,Flood,40,56,Loam,Summer,104,78,23,61,6.2,Dragonfruit
4.8,Drip,46,54,Clay,Rainy,200,78,44,52,5.8,Kale
1.6,Drip,10,27,Loam,Winter,135,59,40,54,6.8,Zucchini
4.9,Flood,65,16,Sandy,Rainy,239,56,29,63,6.9,Sweet Potato
2.7,Drip,66,25,Loam,Winter,157,52,49,65,6.4,Coffee
2.1,Sprinkler,13,67,Sandy,Summer,186,83,36,69,6.4,Beetroot
3.3,Flood,42,32,Loam,Summer,214,53,41,76,6.0,Kidney Bean
3.8,Flood,32,30,Clay,Monsoon,165,56,27,71,7.2,Lima Bean
1.0,Sprinkler,40,52,Loam,Winter,169,87,33,54,6.7,Mango
1.2,Drip,27,35,Loam,Summer,110,71,49,73,7.2,Lettuce
2.5,Drip,15,58,Sandy,Rainy,182,59,36,58,7.3,Soybean
2.4,Drip,31,26,Loam,Rainy,223,72,48,67,5.8,Sugarcane
2.2,Flood,46,62,Sandy,Winter,234,84,36,67,7.1,Yam
3.7,Drip,37,65,Clay,Rainy,103,86,30,61,6.9,Cauliflower
3.4,Drip,41,61,Clay,Winter,153,61,38,57,6.7,Pinto Bean
4.3,Sprinkler,25,36,Sandy,Monsoon,201,52,48,78,5.7,Spinach
4.1,Flood,65,49,Sandy,Summer,204,66,20,69,6.5,Yam
2.9,Flood,15,16,Sandy,Monsoon,164,79,47,53,5.8,Pumpkin Seeds
1.0,Flood,30,66,Sandy,Monsoon,208,72,48,57,6.6,Peas
2.0,Drip,62,62,Sandy,Summer,190,63,35,55,7.0,Grapes
3.3,Sprinkler,29,39,Sandy,Winter,160,75,49,67,5.9,Chili
2.7,Flood,67,52,Clay,Summer,126,64,28,53,7.5,Tea
1.1,Flood,15,26,Loam,Monsoon,184,86,41,67,7.0,Apple
2.0,Sprinkler,36,32,Clay,Monsoon,115,76,43,69,6.1,Sunflower
3.0,Flood,40,62,Sandy,Winter,171,61,44,64,6.0,Turmeric
4.2,Drip,61,14,Sandy,Summer,136,90,46,76,6.1,Barley
1.4,Flood,33,33,Loam,Winter,117,69,35,62,7.1,Pinto Bean
4.4,Flood,49,40,Loam,Monsoon,229,85,47,71,6.8,Radish
3.7,Sprinkler,55,39,Sandy,Monsoon,128,66,38,50,6.2,Sunflower
2.4,Drip,22,60,Loam,Rainy,229,69,50,67,7.0,Carrot
1.4,Flood,49,34,Sandy,Monsoon,114,67,37,60,6.5,Barley
4.2,Drip,51,54,Sandy,Summer,216,66,32,68,6.1,Chili
4.0,Flood,27,33,Clay,Monsoon,241,73,43,55,6.5,Chili
1.2,Flood,39,47,Loam,Summer,240,66,43,76,7.1,Banana
2.1,Drip,47,63,Sandy,Monsoon,135,94,28,73,6.1,Rice
3.4,Flood,17,49,Sandy,Winter,233,71,43,73,7.2,Guava
3.6,Sprinkler,18,21,Sandy,Summer,189,54,30,51,6.0,Basil
3.3,Drip,70,28,Clay,Winter,152,77,35,65,6.6,Barley
3.4,Flood,27,70,Clay,Rainy,217,60,38,52,6.0,Barley
3.9,Sprinkler,36,13,Clay,Winter,105,87,37,72,7.2,Brinjal
1.9,Sprinkler,52,62,Clay,Summer,207,54,27,80,6.1,Turmeric
4.6,Flood,46,25,Loam,Rainy,135,98,31,65,6.4,Pumpkin
4.9,Flood,35,48,Loam,Summer,113,53,29,68,5.7,Pineapple
5.0,Sprinkler,70,10,Sandy,Monsoon,230,75,48,72,7.2,Cotton
3.4,Flood,25,15,Clay,Summer,181,89,40,67,5.9,Groundnut
4.4,Drip,35,64,Sandy,Winter,196,72,39,65,6.5,Coriander
1.0,Flood,61,43,Clay,Winter,165,78,20,51,5.8,Chili
3.5,Flood,59,14,Clay,Summer,224,83,40,78,6.0,Papaya
3.7,Flood,58,28,Sandy,Rainy,156,88,33,61,7.1,Mushroom
3.9,Drip,26,38,Clay,Monsoon,125,100,28,80,6.9,Mung Bean
2.3,Flood,37,57,Loam,Summer,149,82,50,61,7.4,Jute
