Farm_Area(acres),Irrigation_Type,Fertilizer_Used(tons),Pesticide_Used(kg),Soil_Type,Season,Rainfall(mm),Nitrogen,Phosphorus,Potassium,pH_Value,Crop
4.4,Flood,51,13,Clay,Summer,236,70,43,63,6.3,Banana
3.3,Flood,25,38,Sandy,Rainy,175,95,30,76,5.7,Pumpkin Seeds
1.4,Drip,32,20,Clay,Rainy,222,92,31,73,6.6,Cotton
3.1,Drip,49,49,Clay,Summer,177,70,33,66,7.5,Sesame
1.2,Drip,65,42,Sandy,Monsoon,111,67,50,68,7.0,Safflower
1.3,Sprinkler,33,34,Clay,Rainy,185,93,39,79,6.9,Mango
3.8,Drip,70,33,Loam,Rainy,178,55,37,76,7.0,Coffee
4.8,Flood,17,33,Sandy,Summer,144,71,23,52,6.0,Tomato
4.4,Flood,66,47,Loam,Summer,174,73,22,58,6.7,Radish
3.1,Drip,63,19,Loam,Rainy,224,66,45,65,7.3,Pumpkin Seeds
4.9,Sprinkler,49,52,Sandy,Monsoon,191,84,40,58,6.2,Banana
4.2,Flood,62,13,Loam,Rainy,164,90,32,78,6.3,Coriander
4.6,Drip,18,64,Clay,Winter,208,97,37,67,5.7,Barley
1.2,Flood,35,59,Clay,Winter,103,77,43,55,6.3,Basil
1.8,Flood,56,20,Sandy,Winter,137,70,26,75,5.7,Tomato
4.3,Flood,37,62,Clay,Monsoon,190,97,26,76,5.6,Jute
2.8,Sprinkler,42,63,Clay,Rainy,137,65,22,72,7.2,Tea
1.5,Drip,14,30,Loam,Winter,179,67,31,57,7.1,Onion
2.6,Flood,58,43,Loam,Summer,183,68,44,55,6.1,Safflower
2.2,Sprinkler,22,36,Loam,Winter,222,54,21,61,6.5,Zucchini
3.5,Sprinkler,25,50,Sandy,Winter,204,98,38,73,7.5,Oats
3.1,Drip,70,56,Sandy,Winter,224,50,21,80,7.1,Black Bean
1.6,Drip,41,17,Clay,Rainy,226,81,34,78,6.8,Kale
1.6,Flood,55,19,Sandy,Winter,116,83,45,53,6.9,Safflower
1.7,Flood,15,46,Loam,Rainy,246,83,41,80,6.5,Cotton
1.7,Sprinkler,13,36,Loam,Rainy,249,94,37,56,6.0,Flax Seeds
3.5,Sprinkler,17,29,Loam,Summer,121,84,42,52,5.9,Mung Bean
3.3,Drip,48,62,Sandy,Rainy,157,73,47,53,5.7,Sesame
4.0,Flood,45,14,Sandy,Monsoon,132,70,35,65,5.8,Sunflower Seeds
4.3,Flood,24,42,Sandy,Monsoon,131,53,39,52,7.4,Peas
3.7,Flood,58,31,Sandy,Monsoon,185,68,44,53,5.9,Chia Seeds
1.1,Flood,53,56,Clay,Summer,178,78,32,70,6.0,Coffee
1.8,Drip,34,54,Sandy,Monsoon,244,72,25,53,5.7,Tomato
3.6,Drip,33,16,Sandy,Rainy,204,84,23,50,6.5,Mustard
3.0,Flood,69,35,Loam,Rainy,132,69,33,67,6.9,Navy Bean
3.6,Drip,21,38,Sandy,Winter,135,81,50,53,6.3,Lima Bean
1.1,Flood,38,52,Loam,Monsoon,177,63,22,69,6.2,Cucumber
1.6,Drip,19,52,Clay,Winter,249,56,41,55,6.4,Flax Seeds
4.7,Sprinkler,41,64,Clay,Summer,156,94,31,75,7.0,Kidney Bean
3.5,Sprinkler,16,57,Sandy,Winter,228,99,50,51,7.1,Tobacco
3.5,Drip,12,16,Loam,Winter,164,90,46,79,6.3,Guava
2.5,Sprinkler,16,28,Loam,Summer,170,68,48,74,7.2,Black Bean
1.8,Flood,45,35,Clay,Rainy,212,96,26,76,6.5,Mint
4.0,Sprinkler,30,15,Clay,Summer,225,99,27,52,5.6,Mint
4.0,Drip,30,64,Clay,Summer,193,79,20,67,7.4,Grapes
1.3,Drip,31,30,Clay,Rainy,235,60,41,54,6.2,Sugarcane
2.3,Drip,67,48,Loam,Winter,111,90,27,61,6.6,Lentil
4.7,Sprinkler,29,19,Clay,Summer,112,64,49,77,6.3,Jute
2.1,Drip,41,58,Sandy,Rainy,194,54,27,71,6.2,Yam
2.1,Drip,45,68,Clay,Rainy,153,58,31,69,6.6,Chickpea
1.1,Sprinkler,27,36,Sandy,Winter,172,67,26,63,6.2,Peanut
3.5,Flood,58,70,Loam,Winter,197,59,32,60,5.7,Watermelon
4.8,Sprinkler,43,36,Loam,Monsoon,177,56,38,55,6.2,Oats
4.4,Flood,24,27,Clay,Rainy,114,67,34,80,7.4,Radish
1.4,Sprinkler,18,15,Clay,Monsoon,217,93,35,59,5.5,Beetroot
4.8,Drip,39,50,Loam,Rainy,149,56,27,74,7.2,Sweet Potato
2.0,Sprinkler,68,63,Sandy,Monsoon,228,67,22,67,6.4,Navy Bean
3.3,Sprinkler,61,48,Loam,Rainy,244,83,32,67,7.0,Taro
1.4,Drip,14,63,Loam,Monsoon,202,66,49,74,7.1,Peas
4.9,Drip,68,42,Loam,Monsoon,198,96,24,69,5.8,Sunflower Seeds
4.5,Flood,38,10,Sandy,Rainy,127,78,39,74,6.2,Dragonfruit
1.6,Sprinkler,33,44,Clay,Monsoon,122,69,44,54,6.5,Coffee
3.7,Drip,10,18,Sandy,Monsoon,166,73,44,70,6.6,Pomegranate
2.7,Flood,47,37,Clay,Winter,249,66,48,59,6.0,Black Bean
4.6,Sprinkler,54,64,Loam,Summer,150,93,32,68,6.4,Garlic
2.6,Sprinkler,67,25,Clay,Monsoon,230,89,45,72,7.3,Mushroom
1.8,Sprinkler,10,70,Sandy,Winter,197,73,46,63,5.8,Chili Pepper
2.9,Drip,58,65,Sandy,Winter,138,71,26,63,7.4,Wheat
4.4,Flood,67,66,Clay,Summer,147,52,21,63,6.2,Soybean
4.6,Drip,66,55,Clay,Rainy,167,68,24,59,5.7,Taro
3.1,Flood,39,23,Loam,Summer,234,85,44,64,6.5,Carrot
2.4,Flood,55,20,Clay,Monsoon,178,83,30,62,5.6,Garlic
3.0,Flood,41,55,Loam,Winter,152,76,32,68,5.7,Guava
2.7,Sprinkler,56,11,Sandy,Winter,221,73,25,50,6.0,Carrot
4.5,Drip,65,17,Loam,Rainy,244,73,32,56,6.3,Carrot
4.4,Sprinkler,59,24,Loam,Monsoon,175,87,22,80,6.2,Banana
2.9,Flood,24,52,Clay,Winter,127,66,22,65,7.4,Maize
3.3,Flood,24,60,Loam,Winter,199,57,37,68,5.9,Peas
3.7,Drip,11,49,Loam,Winter,205,96,33,61,6.3,Banana
3.9,Sprinkler,67,39,Loam,Rainy,185,79,39,50,6.5,Coriander
2.6,Drip,34,19,Clay,Rainy,167,96,21,58,7.0,Cabbage
2.6,Drip,48,40,Loam,Winter,188,50,41,70,7.4,Chili
1.4,Flood,45,64,Sandy,Monsoon,180,80,20,58,7.1,Zucchini
4.9,Sprinkler,64,48,Clay,Winter,138,72,36,70,6.0,Avocado
3.0,Sprinkler,45,15,Loam,Winter,160,89,44,57,5.6,Hemp
2.7,Flood,12,33,Loam,Winter,188,98,27,68,6.3,Sunflower
2.5,Drip,20,30,Loam,Monsoon,105,62,26,63,7.3,Zucchini
3.0,Sprinkler,64,21,Loam,Winter,228,95,36,77,6.2,Pumpkin Seeds
2.7,Sprinkler,32,46,Loam,Monsoon,209,55,28,59,6.1,Sugarcane
3.2,Flood,41,55,Loam,Monsoon,193,71,34,79,6.7,Oats
4.5,Flood,23,22,Sandy,Summer,242,62,22,53,5.6,Coffee
2.1,Sprinkler,32,11,Loam,Monsoon,208,70,35,65,5.9,Beetroot
1.3,Drip,20,30,Sandy,Winter,133,98,39,62,7.2,Lima Bean
3.6,Drip,58,16,Sandy,Winter,111,52,32,74,5.7,Sweet Potato
4.0,Sprinkler,52,53,Loam,Rainy,115,92,50,57,6.7,Sweet Potato
1.5,Drip,30,15,Loam,Winter,189,66,20,51,7.4,Mushroom
2.7,Sprinkler,68,34,Loam,Winter,166,77,34,77,6.5,Cassava
1.2,Flood,31,62,Clay,Summer,165,64,30,79,7.4,Potato
1.2,Sprinkler,64,60,Loam,Monsoon,196,50,50,59,6.4,Cassava
2.2,Drip,28,52,Clay,Rainy,164,84,35,56,5.8,Guava
4.7,Flood,39,17,Sandy,Rainy,159,98,42,69,6.1,Pomegranate
2.5,Sprinkler,39,28,Sandy,Summer,196,81,31,80,6.8,Banana
1.7,Flood,51,27,Loam,Summer,113,98,46,75,6.3,Lima Bean
3.8,Sprinkler,26,16,Loam,Winter,199,57,50,78,6.0,Lettuce
2.6,Sprinkler,46,56,Sandy,Winter,113,72,23,68,5.8,Onion
2.5,Drip,67,69,Clay,Rainy,189,89,24,72,6.1,Mung Bean
1.0,Sprinkler,32,35,Clay,Winter,139,55,40,78,6.9,Lentil
4.5,Sprinkler,21,66,Sandy,Winter,100,58,40,79,6.6,Kidney Bean
4.6,Drip,62,47,Sandy,Summer,249,55,21,68,7.0,Pomegranate
2.9,Sprinkler,27,19,Sandy,Rainy,138,99,33,75,6.3,Tea
2.4,Flood,32,51,Sandy,Rainy,145,96,45,60,5.9,Peanut
4.3,Flood,47,24,Sandy,Winter,112,50,44,54,6.8,Parsley
4.7,Flood,47,47,Clay,Winter,189,72,45,51,6.5,Avocado
1.8,Drip,22,64,Sandy,Rainy,108,54,21,80,6.1,Cabbage
1.3,Sprinkler,58,14,Sandy,Winter,180,73,49,64,6.3,Sugarcane
4.8,Sprinkler,26,46,Loam,Rainy,169,61,50,55,6.0,Pinto Bean
1.9,Drip,63,38,Sandy,Winter,242,61,47,72,7.3,Soybean
2.8,Sprinkler,65,63,Loam,Winter,185,76,47,61,6.6,Mung Bean
1.7,Flood,19,36,Clay,Monsoon,183,90,25,56,7.1,Sugarcane
2.9,Sprinkler,43,40,Loam,Summer,120,96,25,58,6.2,Pineapple
1.5,Sprinkler,58,19,Loam,Rainy,182,64,33,51,6.6,Black Bean
4.4,Sprinkler,10,46,Clay,Rainy,171,90,23,75,5.5,Dragonfruit
3.1,Drip,58,51,Loam,Summer,121,60,48,66,7.1,Cotton
3.4,Sprinkler,65,38,Clay,Summer,217,57,36,58,5.8,Sweet Potato
3.4,Flood,33,27,Sandy,Rainy,240,92,48,51,6.7,Grapes
4.7,Drip,16,49,Loam,Rainy,197,54,50,52,6.3,Coffee
3.1,Sprinkler,49,51,Sandy,Rainy,179,90,25,58,7.4,Pomegranate
4.2,Sprinkler,51,64,Loam,Rainy,147,73,45,54,7.0,Avocado
1.7,Flood,25,21,Sandy,Winter,116,75,36,73,6.5,Barley
2.8,Sprinkler,51,20,Sandy,Summer,131,89,22,74,7.2,Grapes
1.8,Flood,10,40,Clay,Rainy,249,52,21,77,7.3,Mung Bean
1.3,Drip,28,47,Sandy,Rainy,186,56,36,78,7.0,Coffee
1.8,Drip,35,47,Loam,Winter,128,69,50,58,6.0,Parsley
2.6,Drip,57,39,Loam,Summer,148,100,40,66,6.6,Cabbage
3.7,Flood,47,70,Clay,Winter,145,56,34,52,7.5,Spinach
4.6,Flood,65,18,Sandy,Monsoon,155,66,34,54,6.6,Watermelon
4.5,Sprinkler,60,31,Loam,Summer,216,57,45,55,6.3,Pumpkin Seeds
4.3,Sprinkler,28,36,Clay,Monsoon,197,76,28,74,6.7,Broad Bean
3.2,Drip,11,17,Clay,Winter,206,54,39,65,6.9,Chili Pepper
1.8,Drip,10,52,Loam,Monsoon,131,86,47,68,6.8,Lima Bean
4.6,Drip,63,19,Loam,Summer,209,91,42,64,6.4,Sesame
5.0,Sprinkler,18,38,Loam,Summer,238,56,48,55,5.6,Coffee
2.0,Drip,27,53,Loam,Rainy,104,69,24,62,5.7,Radish
2.2,Drip,47,25,Sandy,Winter,113,92,43,77,6.5,Guava
2.2,Sprinkler,39,42,Loam,Winter,166,95,23,62,5.8,Navy Bean
4.9,Drip,68,24,Clay,Summer,141,87,23,57,5.7,Sweet Potato
3.3,Sprinkler,16,12,Clay,Summer,109,50,22,70,7.3,Kidney Bean
2.3,Flood,20,50,Sandy,Summer,237,97,33,57,6.3,Cauliflower
1.2,Sprinkler,19,52,Sandy,Winter,152,70,46,58,6.7,Oats
2.9,Drip,59,43,Clay,Summer,232,52,41,77,7.1,Brinjal
3.9,Sprinkler,40,33,Clay,Summer,220,69,26,60,5.7,Mango
1.7,Sprinkler,29,21,Sandy,Monsoon,250,90,29,66,7.1,Grapes
1.1,Sprinkler,55,32,Sandy,Rainy,154,65,23,75,7.4,Groundnut
4.2,Sprinkler,55,13,Clay,Winter,154,90,47,75,7.4,Chili
3.3,Drip,23,26,Clay,Rainy,128,54,20,71,5.9,Papaya
1.4,Sprinkler,21,53,Clay,Rainy,125,73,43,51,5.7,Sunflower Seeds
2.7,Sprinkler,51,60,Clay,Winter,137,93,40,76,6.2,Sugarcane
2.7,Drip,26,43,Sandy,Summer,196,64,33,75,5.8,Sugarcane
4.3,Flood,60,37,Loam,Summer,187,69,33,56,7.1,Cucumber
4.2,Sprinkler,29,70,Sandy,Rainy,118,57,37,78,7.2,Black Bean
1.4,Flood,33,37,Clay,Winter,102,86,26,66,6.4,Lima Bean
2.1,Flood,60,33,Clay,Winter,225,51,50,78,5.6,Tobacco
5.0,Drip,53,30,Sandy,Rainy,141,84,34,70,7.0,Radish
1.3,Drip,23,50,Sandy,Rainy,125,74,31,72,6.8,Zucchini
3.5,Drip,15,66,Clay,Winter,111,79,40,80,7.5,Soybean
2.3,Flood,21,59,Clay,Rainy,123,87,45,52,7.1,Brinjal
2.0,Sprinkler,12,11,Clay,Rainy,209,60,40,74,6.2,Turmeric
3.5,Sprinkler,27,45,Clay,Monsoon,219,83,34,53,6.2,Apple
1.4,Drip,39,34,Sandy,Monsoon,214,75,37,65,7.2,Zucchini
4.1,Sprinkler,54,58,Clay,Winter,207,90,28,65,5.8,Broad Bean
4.8,Sprinkler,70,48,Clay,Monsoon,154,96,36,64,6.3,Cucumber
1.9,Flood,69,27,Clay,Rainy,203,55,21,73,6.9,Lima Bean
2.4,Sprinkler,45,47,Loam,Monsoon,197,73,35,57,6.5,Cranberry Bean
1.1,Sprinkler,31,62,Clay,Rainy,217,61,31,80,6.3,Pumpkin Seeds
2.8,Sprinkler,50,29,Loam,Summer,141,98,47,59,7.5,Parsley
1.4,Drip,18,15,Loam,Summer,157,86,49,74,7.0,Parsley
3.8,Drip,12,63,Sandy,Summer,212,63,36,69,6.8,Tomato
3.1,Sprinkler,40,42,Clay,Winter,211,83,50,79,6.3,Fava Bean
1.4,Drip,32,21,Clay,Monsoon,125,54,22,59,5.7,Ginger
3.7,Drip,11,61,Clay,Monsoon,243,61,37,68,7.1,Mango
2.3,Drip,55,51,Loam,Winter,185,85,49,68,5.8,Basil
4.0,Sprinkler,46,24,Clay,Rainy,183,69,20,62,6.7,Tea
3.3,Flood,53,68,Sandy,Summer,154,81,39,56,6.2,Garlic
4.1,Drip,16,32,Clay,Winter,145,78,42,56,5.7,Cranberry Bean
3.9,Drip,12,23,Sandy,Winter,177,70,43,76,7.4,Broad Bean
4.6,Sprinkler,69,28,Loam,Monsoon,235,96,32,58,5.9,Mushroom
3.2,Drip,28,29,Loam,Winter,151,70,48,75,6.9,Dragonfruit
4.8,Sprinkler,16,47,Clay,Monsoon,168,62,27,70,7.0,Broad Bean
3.2,Sprinkler,20,49,Sandy,Monsoon,219,73,44,54,5.7,Tobacco
2.4,Sprinkler,63,13,Loam,Winter,138,70,37,54,6.7,Ginger
2.9,Flood,15,59,Sandy,Summer,135,70,46,51,6.1,Pomegranate
3.9,Flood,44,41,Clay,Monsoon,135,80,36,72,6.6,Pinto Bean
1.1,Sprinkler,19,63,Sandy,Summer,208,71,20,53,6.5,Sugarcane
3.1,Drip,22,66,Clay,Rainy,212,90,20,59,5.7,Sugarcane
4.6,Drip,65,49,Loam,Summer,128,87,33,59,6.0,Groundnut
4.4,Sprinkler,21,14,Sandy,Rainy,197,75,25,50,6.2,Kale
2.7,Sprinkler,56,33,Sandy,Monsoon,190,91,26,75,6.7,Coffee
3.1,Sprinkler,20,46,Sandy,Rainy,152,86,21,78,6.8,Turmeric
2.2,Drip,57,39,Clay,Summer,125,82,28,63,7.0,Garlic
1.2,Flood,24,24,Loam,Monsoon,161,51,33,58,5.5,Sweet Potato
2.7,Sprinkler,26,67,Loam,Winter,153,76,44,70,6.9,Navy Bean
1.8,Sprinkler,66,37,Sandy,Rainy,203,62,28,77,7.0,Lentil
1.8,Drip,33,52,Sandy,Winter,249,82,49,74,5.6,Taro
4.2,Sprinkler,27,50,Loam,Winter,123,77,22,53,6.9,Navy Bean
2.2,Flood,27,14,Loam,Rainy,182,94,20,54,6.5,Chia Seeds
3.4,Sprinkler,48,36,Sandy,Summer,236,90,33,52,5.9,Mung Bean
2.4,Drip,21,29,Sandy,Winter,144,69,43,70,7.5,Tea
3.9,Drip,24,48,Sandy,Monsoon,153,54,23,78,7.5,Rice
2.9,Drip,19,15,Sandy,Rainy,244,79,27,68,6.3,Brinjal
2.0,Drip,50,35,Sandy,Rainy,138,81,32,69,6.9,Mustard
2.5,Drip,22,33,Loam,Monsoon,106,69,38,73,6.8,Banana
4.0,Flood,16,36,Sandy,Rainy,247,68,27,68,6.1,Peas
1.3,Drip,12,47,Sandy,Monsoon,224,75,25,68,6.9,Grapes
3.9,Drip,29,70,Loam,Monsoon,243,72,23,53,6.3,Beetroot
1.7,Drip,59,23,Sandy,Summer,212,84,25,66,6.0,Tomato
3.9,Flood,17,42,Sandy,Summer,182,86,29,51,7.2,Pinto Bean
2.0,Sprinkler,14,56,Sandy,Monsoon,240,93,21,61,7.2,Basil
2.1,Sprinkler,34,42,Sandy,Summer,118,65,24,69,6.2,Chia Seeds
1.7,Sprinkler,67,26,Clay,Rainy,181,88,25,72,6.2,Black Bean
3.2,Drip,13,53,Clay,Summer,150,59,34,53,5.6,Mustard
1.5,Flood,67,27,Sandy,Winter,156,86,35,62,6.0,Carrot
2.6,Sprinkler,28,20,Loam,Summer,100,97,39,74,6.8,Cauliflower
2.4,Flood,47,51,Clay,Winter,231,94,46,55,6.2,Kidney Bean
3.6,Sprinkler,36,27,Loam,Summer,228,79,39,54,7.3,Parsley
3.4,Sprinkler,22,21,Sandy,Summer,206,85,45,60,6.3,Mint
1.7,Sprinkler,47,66,Loam,Summer,222,52,49,57,6.1,Mung Bean
1.4,Flood,17,60,Loam,Summer,218,77,49,71,6.1,Oats
1.8,Sprinkler,51,34,Clay,Rainy,112,63,31,62,7.4,Carrot
1.4,Flood,50,68,Sandy,Monsoon,140,84,28,61,6.6,Groundnut
3.1,Sprinkler,36,42,Loam,Rainy,208,68,29,77,6.6,Tobacco
2.6,Flood,51,35,Clay,Winter,250,67,31,57,6.3,Yam
1.5,Flood,46,58,Loam,Monsoon,195,78,44,77,6.7,Lentil
1.2,Drip,11,50,Clay,Rainy,106,79,25,67,5.8,Lentil
3.9,Drip,13,23,Clay,Rainy,117,67,34,53,7.2,Garlic
3.8,Drip,35,60,Clay,Summer,121,95,30,67,6.1,Chickpea
4.6,Flood,19,69,Sandy,Winter,237,79,43,74,5.8,Beetroot
4.0,Flood,22,47,Sandy,Rainy,218,80,20,69,7.0,Maize
2.9,Sprinkler,29,20,Sandy,Summer,223,65,32,64,5.6,Cassava
2.6,Drip,70,45,Sandy,Winter,127,88,24,59,5.5,Lentil
3.5,Drip,22,40,Loam,Monsoon,233,71,38,61,5.5,Fava Bean
4.5,Drip,42,17,Loam,Winter,133,59,32,79,6.0,Chia Seeds
2.5,Drip,22,34,Clay,Winter,238,73,37,55,7.0,Sugarcane
4.9,Flood,51,64,Clay,Winter,215,95,40,69,6.1,Hemp
3.7,Flood,21,61,Loam,Rainy,177,99,26,76,6.1,Basil
1.4,Flood,20,24,Sandy,Rainy,136,63,48,75,7.3,Fava Bean
4.9,Sprinkler,61,36,Sandy,Monsoon,114,82,30,70,5.5,Safflower
2.4,Sprinkler,42,69,Loam,Rainy,100,91,23,71,5.9,Beetroot
3.4,Sprinkler,31,25,Sandy,Rainy,205,53,48,64,6.6,Sweet Potato
4.5,Flood,50,20,Loam,Winter,122,100,23,68,5.6,Guava
3.3,Flood,39,64,Sandy,Rainy,210,81,32,75,7.4,Potato
3.2,Sprinkler,50,68,Loam,Summer,159,80,22,55,5.8,Tea
2.9,Flood,45,61,Loam,Rainy,119,97,20,70,6.2,Coriander
4.1,Sprinkler,28,24,Loam,Rainy,155,71,38,77,5.6,Guava
2.0,Sprinkler,70,56,Clay,Summer,132,95,32,51,5.7,Cassava
4.1,Sprinkler,42,60,Clay,Monsoon,224,90,37,77,7.0,Kale
4.8,Sprinkler,68,46,Clay,Winter,155,86,31,70,7.1,Radish
3.8,Sprinkler,23,27,Sandy,Winter,150,64,44,71,7.3,Chickpea
4.9,Sprinkler,32,13,Clay,Summer,152,57,20,69,7.4,Yam
3.3,Flood,59,36,Sandy,Summer,193,61,36,74,6.3,Ginger
4.8,Drip,31,43,Loam,Summer,215,99,31,71,7.4,Broad Bean
3.2,Drip,26,69,Loam,Summer,200,71,31,76,6.6,Yam
4.7,Sprinkler,40,61,Clay,Monsoon,183,67,34,79,5.5,Hemp
1.1,Flood,58,55,Loam,Monsoon,196,63,34,52,7.2,Pomegranate
4.3,Drip,64,53,Loam,Rainy,210,69,50,70,7.2,Avocado
3.1,Drip,64,50,Clay,Monsoon,130,70,33,78,7.3,Beetroot
1.7,Flood,44,25,Clay,Summer,102,94,26,73,5.8,Taro
2.7,Flood,65,14,Clay,Summer,110,99,25,75,7.3,Coffee
1.3,Flood,22,51,Loam,Monsoon,165,73,20,54,7.4,Broad Bean
3.0,Sprinkler,27,37,Loam,Rainy,148,89,32,69,6.8,Peanut
1.1,Sprinkler,35,68,Loam,Monsoon,124,58,50,62,7.2,Carrot
3.6,Drip,66,48,Sandy,Rainy,150,76,49,61,6.2,Broad Bean
2.5,Flood,64,50,Clay,Winter,119,77,41,72,7.0,Cranberry Bean
1.3,Sprinkler,64,11,Loam,Monsoon,109,72,35,50,6.6,Yam
4.6,Flood,39,41,Loam,Summer,217,87,32,60,7.3,Cabbage
4.9,Flood,37,21,Sandy,Monsoon,154,97,33,77,6.9,Banana
2.2,Drip,59,55,Clay,Rainy,132,62,31,72,7.0,Avocado
3.6,Sprinkler,20,18,Sandy,Winter,127,72,28,68,6.1,Fava Bean
4.4,Flood,52,20,Clay,Summer,190,54,50,60,7.4,Cabbage
1.7,Drip,30,43,Sandy,Winter,205,80,29,60,6.7,Barley
3.3,Drip,45,27,Sandy,Summer,221,56,42,77,5.6,Chia Seeds
4.8,Drip,13,21,Loam,Monsoon,184,90,44,73,7.0,Pomegranate
4.1,Drip,54,32,Clay,Monsoon,205,98,23,78,6.8,Kale
2.1,Drip,33,41,Clay,Monsoon,141,67,35,75,5.5,Taro
3.8,Sprinkler,26,62,Sandy,Summer,190,54,48,79,7.0,Avocado
3.2,Flood,47,22,Sandy,Rainy,208,74,39,51,6.7,Peanut
3.8,Drip,22,26,Sandy,Winter,111,87,50,73,7.2,Grapes
1.4,Flood,16,30,Sandy,Monsoon,104,91,25,52,6.0,Navy Bean
3.1,Sprinkler,15,46,Sandy,Winter,237,77,47,60,5.9,Guava
3.5,Sprinkler,61,62,Clay,Summer,247,72,30,57,5.9,Cabbage
3.0,Drip,30,52,Clay,Rainy,225,61,27,76,5.9,Chickpea
2.0,Flood,14,34,Clay,Rainy,128,87,45,61,5.8,Cucumber
2.2,Flood,21,55,Clay,Monsoon,181,63,37,51,6.9,Pinto Bean
3.7,Sprinkler,41,68,Loam,Monsoon,172,60,43,73,6.3,Cauliflower
2.3,Sprinkler,45,43,Clay,Summer,210,71,24,57,7.3,Zucchini
2.1,Flood,15,41,Sandy,Summer,172,71,21,72,5.7,Maize
2.9,Flood,27,27,Loam,Monsoon,116,97,30,69,5.7,Banana
2.2,Drip,22,57,Loam,Monsoon,233,67,48,62,7.3,Mushroom
2.4,Flood,54,19,Sandy,Rainy,181,99,21,56,5.9,Mint
4.4,Flood,66,15,Clay,Rainy,202,76,21,66,6.6,Navy Bean
3.8,Sprinkler,63,14,Clay,Rainy,173,90,45,80,5.8,Broad Bean
2.6,Drip,31,53,Sandy,Summer,155,79,28,75,6.4,Basil
1.7,Sprinkler,28,63,Sandy,Summer,214,79,36,61,6.0,Zucchini
2.3,Drip,23,19,Sandy,Winter,224,81,34,77,6.8,Rice
2.7,Sprinkler,21,49,Loam,Monsoon,208,93,50,74,7.3,Coconut
4.5,Drip,29,67,Loam,Summer,219,90,30,71,5.8,Coriander
4.0,Sprinkler,34,20,Sandy,Rainy,236,69,40,56,5.9,Pumpkin
1.0,Sprinkler,18,55,Sandy,Rainy,105,71,35,63,6.5,Jute
1.9,Flood,25,49,Loam,Winter,164,97,32,71,5.7,Safflower
4.3,Drip,57,64,Sandy,Winter,249,50,36,80,7.0,Groundnut
3.4,Drip,11,23,Sandy,Rainy,114,81,23,65,7.0,Broad Bean
3.1,Sprinkler,55,22,Loam,Summer,182,74,43,55,5.7,Cotton
1.4,Sprinkler,64,44,Clay,Summer,155,92,47,65,6.0,Guava
4.3,Sprinkler,24,25,Loam,Winter,199,90,35,56,6.4,Flax Seeds
1.5,Sprinkler,11,16,Loam,Summer,115,77,34,73,5.9,Cauliflower
1.2,Drip,32,61,Loam,Winter,245,88,50,63,5.6,Lentil
5.0,Sprinkler,45,33,Loam,Monsoon,212,62,37,78,6.0,Kidney Bean
2.1,Sprinkler,63,62,Clay,Rainy,146,64,21,57,7.0,Cassava
1.5,Drip,47,65,Sandy,Winter,250,82,22,69,6.0,Mango
2.0,Flood,41,16,Sandy,Rainy,106,88,48,71,6.7,Cotton
1.2,Flood,57,42,Loam,Summer,150,69,32,58,7.5,Sesame
2.7,Sprinkler,27,15,Loam,Monsoon,174,57,47,73,6.3,Pumpkin Seeds
3.3,Drip,62,63,Loam,Rainy,203,98,38,70,6.6,Spinach
3.8,Flood,19,51,Loam,Monsoon,126,95,46,53,7.1,Peanut
2.9,Flood,42,60,Sandy,Summer,101,54,33,69,6.8,Wheat
3.1,Drip,63,70,Clay,Winter,211,87,35,70,6.6,Pumpkin Seeds
3.1,Flood,48,58,Loam,Rainy,240,54,46,69,5.6,Cabbage
2.6,Flood,10,67,Sandy,Summer,214,67,34,61,7.2,Dragonfruit
1.1,Flood,19,21,Clay,Winter,127,70,49,77,7.1,Cabbage
3.2,Drip,52,19,Sandy,Monsoon,158,61,49,53,6.7,Chili
3.7,Sprinkler,55,14,Sandy,Rainy,212,100,25,58,7.5,Grapes
3.4,Drip,70,39,Loam,Monsoon,212,72,26,50,7.0,Pineapple
4.9,Drip,16,63,Sandy,Summer,188,75,27,62,6.7,Guava
1.0,Flood,11,57,Sandy,Monsoon,166,53,43,68,6.4,Cotton
